RENTA_FIJA,CETES_28,VISTA,CEDEVIS,CARSO,FRESNILLO,MXN/USD
,,-0.025892362,0.004457652,-0.009009009,-0.020416502,-0.005473459
,,-0.051070551,0.001488095,0.018348624,0.010306086,-0.022180339
,,-0.030457717,0.001117318,0.018691589,-0.009492654,0.020481273
,,0.001704449,0,0.009433962,-0.012247018,-0.003642481
,,0.020880459,0,0,0.011674912,0.001748713
,,0.013044245,0.001118568,0,0.029275693,0.002178415
,,-0.027430139,0.001119821,-0.036363636,-0.021316006,-0.001983555
,,-0.019663866,-0.00074599,0.018518519,0.021780275,0.000210125
,,0.012076884,0.000373134,0.018867925,0.016785032,0.005858991
,,0.031222593,0.000746826,0.029126214,0.016298021,-0.00139889
,,-0.014520311,0.000747384,-0.037383178,-0.035178363,-0.00232606
,,0.024075058,0.000373832,0.009433962,-0.001495349,0.007852253
,,-0.017565217,0.002248033,0.00952381,0.032404477,-0.001050141
,,0.055239493,0.000374813,0.019417476,0.004652966,-0.001240878
,,0.005907329,0.001125704,0,0.001553398,-0.009249773
,,-0.030948122,0,-0.028301887,-0.007707129,0.000297682
,,0.033080761,0.001503194,0.019230769,-0.000770119,-0.003709646
,,0.000369754,-0.000375657,0,0.045053601,-0.004900988
,,-0.001476832,-0.000375516,0,0.008932051,0.005746623
,,0.001479016,0.001881114,0.009708738,-0.023006378,0.001886654
,,0.001666667,0.000376364,-0.028301887,-0.009414538,-0.005999137
,,0.005399367,0.000753296,-0.018518519,-0.000785238,0.010256134
,,0.002800597,0,-0.009174312,-0.002350176,-0.008734981
,,-0.006676558,-0.000376506,0,0.011073092,0.007682264
,,-0.018029503,0,0,-0.026209024,-0.005737151
,,-0.054905336,0.00075358,0.009259259,-0.00230858,4.38E-05
,,0.001724138,0.000376932,0,-0.009904762,-0.006444382
,,0.000344947,-0.00037679,-0.009174312,-0.01351392,0.023470372
,,-0.007361753,0.000754148,-0.009090909,-0.020611271,-0.008276822
,,0.004643963,-0.000376932,-0.009009009,-0.027893464,-0.007078974
,,0.042122244,0.000377074,0,0.026427123,-0.004656955
,,-0.028725627,0,-0.008928571,-0.007276917,0.004517354
,,0.037384865,0.001132503,-0.034482759,0.046516597,-0.008446761
,,-0.01318838,0.000755572,0,-0.012046921,-0.00265727
,,0.011537768,0.001513432,0.054545455,-0.008224422,0.013945088
,,-0.009994646,-0.000756144,-0.043478261,0.004506264,0.000268528
,,0.051811526,0.00303375,0.045454545,0.028567014,-0.015345269
,,0.000751456,0.001138952,0.047619048,0.00232288,0.004670482
,,-0.002623197,-0.000758725,-0.018691589,0.0125441,0.011248303
,,-0.002802691,-0.000379219,-0.018348624,0.00472627,0.004508814
,,-0.034980166,0.001899696,0.018691589,-0.005483745,0.001882619
